artist_id,music_author,music_title,popularity,song_id,album,release_date
4kYSro6naA4h99UJvo89HB,Cardi B,WAP (feat. Megan Thee Stallion),95,4Oun2ylbjFKMPTiaSbbCih,WAP (feat. Megan Thee Stallion),2020-08-07
6gWGD0yeQYobb2sq0LUr7k,L.Dre,Steven Universe,69,7zkA4TSmYO1Bko2PnFn0YB,Steven Universe,2020-02-21
3fyhhXHbGVLuSHFk2SYx4I,Popp Hunna,Adderall (Corvette Corvette),84,3aAmQOxRPeKDL0HMWFA5qn,Adderall (Corvette Corvette),2020-10-15
56mfhUDKa1vec6rSLZV5Eg,Jawsh 685,Savage Love (Laxed - Siren Beat),91,1xQ6trAsedVPCdbtDAmk0c,Savage Love (Laxed - Siren Beat),2020-06-11
181bsRPaVXVlUKXrxwZfHK,Megan Thee Stallion,Savage,82,55CHeLEfn5iJ0IIkgaa4si,Suga,2020-03-06
0eDvMgVFoNV3TpwtrVCoTj,Pop Smoke,What You Know Bout Love,96,1tkg4EHVoqnhR6iFEXb60y,Shoot For The Stars Aim For The Moon,2020-07-03
2JSwnwAT1BupAQkhqcRCUw,Sada Baby,Whole Lotta Choppas,74,6hLZzCS4E7AWo3PRBWy6az,Whole Lotta Choppas,2020-08-14
28Jt29jw6Smc3ZkzALTouq,DJ Chose,THICK,75,0YYNIGKgAk34vZkV2NySie,THICK,2020-07-10
3V0ZQW0dNuVaFtbVYgSI24,Claire Rosinkranz,Backyard Boy,82,04F42oEuKrRComYJfJuyVR,Backyard Boy (Stripped),2020-10-02
2kCO8LXN1usaOPL3iEE28I,Tai Verdes,Stuck In The Middle,74,5HsydJbQNOY3o0Rb2UEKqQ,Stuck In The Middle,2020-05-29
6CTStccOisUTgXVrtCIANm,Ricky Desktop,"The Banjo Beat, Pt. 1",68,5O0JIw4YvvTdKlN9l69JFQ,"The Banjo Beat, Pt. 1",2020-08-21
7gZfnEnfiaHzxARJ2LeXrf,6ix9ine,GOOBA,80,4NhDYoQTYCdWHTvlbGVgwo,GOOBA,2020-05-08
7MPGCB854Qo4alYMOPkBka,Ritt Momney,Put Your Records On,92,6AGOKlMZWLCaEJGnaROtF9,Put Your Records On,2020-04-24
7vPGzgDg3qGUY5bWtrO3K4,Conkarah,Banana (feat. Shaggy) - DJ FLe - Minisiren Remix,78,0dZpw3h6KZhcHec61qwevZ,Banana (feat. Shaggy) [DJ FLe - Minisiren Remix],2020-05-15
3wVXTWabe3viT0jF7DfjOL,Vedo,You Got It,86,4lsHZ92XCFOQfzJFBTluk8,For You,2020-03-27
0JFjWic1b9Mvv7WcNYhDvZ,KBFR,Hood Baby,72,5au5NgWCdev4WeLRB3YEOR,Hood Baby,2020-04-03
0fEj1fYIQwWj1bzzAto9rp,CHROMANCE,Wrap Me In Plastic - Slowed Down Version,59,74PdooqFwI8VhklmayQ7dz,Wrap Me In Plastic,2020-10-30
6AdFGjfHin3ow9yC5qE2TW,Kenyi,Up Beat (Married Life),46,6zIunOWyDLQ6g4IYSwADp1,Up Beat (Married Life),2020-05-20
2crfTbTl8cTxLFidTcd2Tg,Unghetto Mathieu,Plastic,72,7FngYjFnEU6fRYWTZbwoq9,Plastic,2020-05-29
5zfEatKLDdRkgbw6sdLBAQ,Octavian,Papi Chulo,85,6Juv5N0dNU1imms9c9u1dA,Papi Chulo,2020-03-13
0eDvMgVFoNV3TpwtrVCoTj,Pop Smoke,For The Night (feat. Lil Baby & DaBaby),94,0PvFJmanyNQMseIFrU708S,Shoot For The Stars Aim For The Moon,2020-07-03
5Berubt6ysOy2LCMyqhmXP,YFN Lucci,Wet (She Got That…),75,4GurWpxvH3NoWz9f9wirPq,Wet (She Got That…),2020-02-14
3tJoFztHeIJkJWMrx0td2f,Moneybagg Yo,Said Sum (feat. City Girls & DaBaby) - Remix,78,7HbnX1fxCAoPa7nRVFSEFW,Said Sum (feat. City Girls & DaBaby) [Remix],2020-09-17
41MozSoPIsD1dJM0CLPjZF,BLACKPINK,How You Like That,86,4SFknyjLcyTLJFPKD2m96o,THE ALBUM,2020-10-02
2NLseG7xyv3fHY5U8AUntx,Kenndog,Drip Like ME,76,5lNsNowjCKqgafSWE7Ie2Z,Drip Like ME,2020-03-01
6cK3NBO6uP7hh0oyuVELFl,Saweetie,Tap In,83,4Hpib09wXgD84w4uwTPnYD,Tap In,2020-06-17
5KnoVkIUGmK0PiDKMjz2LM,Feder,Goodbye (feat. Lyse) - Slow Version,68,0Cp85ha3RN0FDytbku8nzq,Goodbye (feat. Lyse) [Slow Version],2020-10-02
0eDvMgVFoNV3TpwtrVCoTj,Pop Smoke,Mood Swings (feat. Lil Tjay),90,5rZlwNFl01HqLWBQGryKSm,Shoot For The Stars Aim For The Moon,2020-07-03
31doejENzNckcbU7CUrUs0,Millie B,M to the B,72,1meosvrJFk4xXo1HwUIasC,M to the B,2020-09-18
66CXWjxzNUsdJxJ2JdwvnR,Ariana Grande,positions,99,35mvY5S1H3J2QZyna3TFe0,Positions,2020-10-30
1XLWox9w1Yvbodui0SRhUQ,StaySolidRocky,Party Girl,85,5RqR4ZCCKJDcBLIn4sih9l,Party Girl,2020-04-21
