artist_id,music_author,music_title,popularity,song_id,album,release_date,duration_ms,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,author_title,title,lyrics,polarity,subjectivity,label
4kYSro6naA4h99UJvo89HB,Cardi B,WAP (feat. Megan Thee Stallion),95,4Oun2ylbjFKMPTiaSbbCih,WAP (feat. Megan Thee Stallion),2020-08-07,187541,0.0194,0.935,0.45399999999999996,0.0,0.0824,-7.5089999999999995,0.375,133.07299999999998,0.35700000000000004,Cardi B WAP (feat. Megan Thee Stallion),Cardi b wap,whores house theres whores house theres whores house theres whores house said certified freak seven days week wetass pussy make pullout game weak woo yeah yeah yeah yeah yeah fuckin wetass pussy bring bucket mop wetass pussy give everything got wetass pussy beat nigga catch charge extra large extra hard put pussy right face swipe nose like credit card hop top wanna ride kegel inside spit mouth look eyes pussy wet come take dive tie like im surprised lets roleplay ill wear disguise want park big mack truck right little garage make cream make scream public make scene dont cook dont clean let tell got ring gobble swallow drip side quick jump fore let get inside tell put never tell im bout ill run fore nigga runnin talk shit bite lip ask car ride dick really aint never gotta fuck thang already made mind fore came get boots coat wetass pussy bought phone pictures wetass pussy paid tuition kiss wetass pussy make rain wanna see wetass pussy look need hard hitter need deep stroker need henny drinker need weed smoker garter snake need king cobra hook hope lean got money thats im headed pussy like credit got beard well im tryna wet let taste diabetic dont wanna spit wanna gulp wanna gag wanna choke want touch lil dangly thing swing back throat head game fire punani dasani goin dry comin soggy ride thing like cops behind spit mic tryna sign woo honor im freak bitch handcuffs leashes switch wig make feel like cheatin put knees give somethin believe never lost fight im lookin beatin food chain im one eat ya ate ass hes bottomfeeder big stand big demeanor could make ya bust ever meet ya dont hang cant bang cant hurt feelings like pain fuck ask whose ride dick ima spell name ah yeah yeah yeah yeah fuckin wetass pussy bring bucket mop wetass pussy give everything got wetass pussy top make drop thats wetass pussy get bucket mop thats wetass pussy im talkin wap wap wap thats wetass pussy macaroni pot thats wetass pussy huh theres whores house theres whores house theres whores house theres whores house theres whores house theres whores house theres whores house theres whores house theres whores house theres whores house,-0.05708705357142858,0.46484375,1
6gWGD0yeQYobb2sq0LUr7k,L.Dre,Steven Universe,70,7zkA4TSmYO1Bko2PnFn0YB,Steven Universe,2020-02-21,134025,0.841,0.6759999999999999,0.0674,0.9420000000000001,0.121,-13.899000000000001,0.0703,77.03699999999999,0.214,L.Dre Steven Universe,LDre Steven Universe,meme,0.0,0.0,0
3fyhhXHbGVLuSHFk2SYx4I,Popp Hunna,Adderall (Corvette Corvette),84,3aAmQOxRPeKDL0HMWFA5qn,Adderall (Corvette Corvette),2020-10-15,136224,0.272,0.9129999999999999,0.391,0.0,0.0666,-11.158,0.368,141.05,0.713,Popp Hunna Adderall (Corvette Corvette),Popp Hunna Adderall Corvette Corvette,corvette corvette hop motherfuckin jet like jet like like popp walk like talk like walk like uh im addy im dont got time relax turned two four turned five stack five stack bottom talking back back got shit mud dont wanna talk keep stack know exing moving false thats fact niggas keep talking bout looking niggas cappin know im aint norris im vine th girard exact aint norris thеn im vine th girard еxact fuck opps real yeah im dissing uh drop bag head get rid uh bitch aint duckin action gon get rid tay sliding niggas got missiles im addy im dont got time relax turned two four turned five stack five stack bottom talking back back got shit mud dont wanna talk got shit dirt dont wanna talk uh niggas sending threats resting piss resting shit fuck niggas made wont admit ungrateful shit even die niggas gon slide uh gon get hit took sip lean shit trippin wasnt dippin tears rollin face cause seen niggas wish different fucked bitch named cece tried say aint alright listen pussy trash real sometimes wish never hit im addy im dont got time relax turned two four turned five stack five stack bottom talking back back got shit mud dont wanna talk im addy im dont got time relax turned two four turned five stack five stack bottom talking back back got shit mud dont wanna talk,-0.106,0.418,0
56mfhUDKa1vec6rSLZV5Eg,Jawsh 685,Savage Love (Laxed - Siren Beat),91,1xQ6trAsedVPCdbtDAmk0c,Savage Love (Laxed - Siren Beat),2020-06-11,171374,0.23399999999999999,0.767,0.48100000000000004,0.0,0.26899999999999996,-8.52,0.0803,150.076,0.7609999999999999,Jawsh 685 Savage Love (Laxed - Siren Beat),Jawsh 685 and jason derulo savage love laxed siren beat,jason derulo ah savage love woke without ya dont know would thought could single forever til met usually dont fallin fallin fallin fast got way keepin comin backtoback found reason lovin get back ex lover leave usually would never would never even care baby know creepin feel air every night every day try make stay savage love somebody somebody break heart lookin like angel savage love kiss know dont give two fucks still want savage love savage lololove savage lololove could use cause still want baby hope aint karma cause get around wanna run wanna lock usually dont fallin fallin fallin fast got way makin spend cash every night every day try make stay savage love somebody somebody break heart lookin like angel savage love kiss know dont give two fucks still want savage love savage lololove savage lololove could use cause still want savage love savage lololove savage lololove could use baby savage love somebody somebody break heart lookin like angel savage love kiss know dont give two fucks still want savage love savage lololove savage lololove girl could use cause still want savage love,0.293609022556391,0.4928571428571427,0
181bsRPaVXVlUKXrxwZfHK,Megan Thee Stallion,Savage,82,55CHeLEfn5iJ0IIkgaa4si,Suga,2020-03-06,155497,0.0252,0.843,0.741,0.0,0.096,-5.609,0.33399999999999996,168.983,0.68,Megan Thee Stallion Savage,Megan Thee Stallion Savage,im bitch bitch still bitch forever bitch yeah im hood mona lisa break nigga pieces x cheesy niggas circle like pizza im way exclusive dont shop insta boutiques lil ass clothes fit fake booties bad bitch still talking cash shit pussy like water im unbothered relaxing would never trip nigga bitch thats trash maid bagged ah im savage classy bougie ratchet sassy moody nasty acting stupid whats happening bitch whats happening bitch im savage yeah classy bougie ratchet yeah sassy moody nasty huh acting stupid whats happening bitch whats happening eat record edgeup im showing keep niggas private ap im showing beefing bitches really getting kinda boring aint money know im gon ignore im shit ooh need mop clean floor much drip ooh keep knot keep watch keep whip ooh lets play game simon says im still bitch ayy im still bitch yeah im savage classy bougie ratchet sassy moody nasty acting stupid whats happening bitch whats happening bitch im savage yeah classy bougie ratchet yeah sassy moody nasty huh acting stupid whats happening bitch whats happening bitch im lit like match ooh nigga let hit still attached ooh body right know pussy fat ooh drop picture bitches feel attacked ayy dont let nigga gas get whacked ooh make call get pussy nigga smacked uh bitches talkin bout pulling well ooh im lam bitch catch ooh im kickin bitches spot stalli chan yeah niggas say taste like sugar aint shit sweet mwah ayy ayy ooh ooh ooh ooh mwah,-0.280568356374808,0.6815284178187403,0
0eDvMgVFoNV3TpwtrVCoTj,Pop Smoke,What You Know Bout Love,96,1tkg4EHVoqnhR6iFEXb60y,Shoot For The Stars Aim For The Moon,2020-07-03,160000,0.65,0.7090000000000001,0.5479999999999999,1.59e-06,0.133,-8.493,0.353,83.995,0.5429999999999999,Pop Smoke What You Know Bout Love,Pop Smoke What You Know Bout Love,uh shawty go jogging every morning make breakfast almost every morning take naked pic leave door waking pics nigga yawning every weekend shawty comin shawty could fendi like fashion nova aint driving camry pullin rover hair curly love baby said know bout love got need walk store get want get please bout get take drawers know im go raw cause like see look baby said aint gon front got heart beating fast words cant pronounce getting chills every time feel touch looking top girl us need trust girl told dont make tell twice know see print pants know like yo ass looking fat tights im going straight top hope aint afraid heights always keep right fact never left trials tribulations always best heres fiftyfive hunnid go get breasts start rubbin butt start kissing yo neck hey batter batter hey batter batter niggas know swing make play apply pressure cause hidden treasure think im falling love said know bout love got need walk store get want get please bout get take drawers know im go raw cause like see,0.21609432234432235,0.4870077838827838,0
2JSwnwAT1BupAQkhqcRCUw,Sada Baby,Whole Lotta Choppas,74,6hLZzCS4E7AWo3PRBWy6az,Whole Lotta Choppas,2020-08-14,153750,0.000718,0.9259999999999999,0.762,0.0,0.11699999999999999,-1.8869999999999998,0.205,127.931,0.27699999999999997,Sada Baby Whole Lotta Choppas,Sada Baby Whole Lotta Choppas,im bool bang bang bang ooh lil bitch wan ride told bitch dont get body hmm get right beside ima get thang get slidin bitch makin feel erotic huh gotta get rocket dont give fuck bout milage grandmom related winans ooh thats shit like church girl bitch like christ hmm aint never pipe least kind ima fuck night perc hmm perc pack yeah leave bitch hurt back work hmm work young niggas wakin serve wanna see dance thousanddollar pants dont disrespect mans bang whole lotta choppers ass scram put dollars head snitchinass nigga gave mama feds little brother big brother sada got dreads dz dt sada keep bands lil bitch cant keep pussy hands got real hood rat suki hands stackin blues run tookies ass bay rollin cookies ass nerves g weed gave bustin cause sada cant jealous weed im never stressin see booty bottom thing come double decker let white boy shoot thing sam dekker heard used chew thing hannibal lecter poppin pills like heath ledger drugs aint joke nigga im tellin manager got shelf sellin wanna see thang brandnew vv chains dont disrespect gang bang tshirt full blood stains mmm already dirt name best friend got tshirt name dig big body swerve lane ak hit nigga stomach knock sixpack like cinema hear clickclack thats end riffraff thats end bullshit know got full clip hmm walk use walked right past bitch say excuse hmm thought groupie come find bitch pulled ridin goofy huh hmm huh huh wasnt couch uie bitches wop shakin booty em parking lot showin coochie em bathroom actin unruly huh lil bitch wan ride told bitch dont get body hmm get right beside ima get thang get slidin bitch makin feel erotic huh gotta get rocket dont give fuck bout milage grandmom related winans wanna see dance thousanddollar pants dont disrespect mans bang whole lotta choppers ass,0.10224654377880184,0.42926267281106,0
28Jt29jw6Smc3ZkzALTouq,DJ Chose,THICK,75,0YYNIGKgAk34vZkV2NySie,THICK,2020-07-10,178834,0.0352,0.87,0.752,1.1e-06,0.26899999999999996,-6.615,0.37200000000000005,145.118,0.591,DJ Chose THICK,Dj chose and beatking thick,whats bri whats ki whats lisa damn want three ooh ashley ooh ashley get hard walk past cause thick thithithithithithick thithithithithithick thithithithithick make stutter friends thithithithithithick thithithithithithick thithithithi fuck want em yeah runnin round trap right hundred bands lookin like brick yeah ring around rosie ridin play gon feel stick yeah pull red light shawty walk lookin good shawty lookin like lick uh ass back like cake thе ice cream shake banana split pull thе light told whoopwhoop pull ass fat tell boyfriend dont want found racks open door take store let buy want yeah like nene cause bad like tay got ass like neisha got cash go sometimes spazz whats bri whats ki whats lisa damn want three ooh ashley ooh ashley get hard walk past cause thick thithithithithithick thithithithithithick thithithithithick make stutter friends thithithithithithick thithithithithithick thithithithi fuck want em whats shay whats linn hit raw see public like whats friend talk much still hit cause fool ddddddddddddddick pop ass throw kill pussy covid spread legs dont close im lame ill never expose ya huh baby tryna cut lights bitch fuck stretch marks bend right whats smash partner cant start relationship club godzilla cant smash duck free get bread get head leave keys whats bri whats ki whats lisa damn want three ooh ashley ooh ashley get hard walk past cause thick thithithithithithick thithithithithithick thithithithithick make stutter friends thithithithithithick thithithithithithick thithithithi fuck want em,-0.12359795377036754,0.4867689781482885,0
3V0ZQW0dNuVaFtbVYgSI24,Claire Rosinkranz,Backyard Boy,82,04F42oEuKrRComYJfJuyVR,Backyard Boy (Stripped),2020-10-02,129240,0.32299999999999995,0.8170000000000001,0.635,0.0,0.0738,-7.246,0.163,138.015,0.45399999999999996,Claire Rosinkranz Backyard Boy,Claire Rosinkranz Backyard Boy,five six seven eight dance backyard boy looking super fine corduroy drive around block go loop well turn volume good boy band tunes love feel fresh air feel eyes stare im gonna lie get little bit scared heart wings im living dreams top lungs sing everything perfect words worth dancin around like clown circus backyard boy make nervous dance backyard boy looking super fine corduroy roll windows let bass drop low everybodys talking dont wanna know feel fresh air feel eyes stare im gonna lie get little bit scared heart wings im living dreams top lungs sing everything perfect words worth dancin around like clown circus backyard boy make nervous right,0.3505639097744361,0.5299498746867168,0
2kCO8LXN1usaOPL3iEE28I,Tai Verdes,Stuck In The Middle,74,5HsydJbQNOY3o0Rb2UEKqQ,Stuck In The Middle,2020-05-29,196000,0.371,0.872,0.501,0.0,0.0939,-8.908999999999999,0.0468,119.964,0.848,Tai Verdes Stuck In The Middle,Tai Verdes Stuck In The Middle,know said said youre player arent bet got hoes said dont know like go flow oh oh said cant fool like youre gonna leave read said dont try know wanna friends friends turn sleepovers sleepovers turn love love turns jealousy fucked cause stuck middle lovers friends losing every part benefits hurt ever knew shitty cause im said exclusive said wanna seems like love lot said stop joking take seriously said ill try best well wait see cause talks turn sleepless nights sleepless nights turn love love turns impatience fucked cause stuck middle lovers friends losing every part benefits hurt ever knew shitty cause im stuck middle stuck middle stuck middle stuck middle yououou fights turn making making turns love love turns forever scares us cause stuck middle lovers friends losing every part benefits hurt ever knew shitty cause im,0.12982456140350876,0.3982456140350876,0
